Category,Nominee,Film,Vote %,User's Pick,Image URL
Best Adapted Screenplay,Hamnet (Chloé Zhao & Maggie O'Farrell),Hamnet,19%,Yes,https://media.vanityfair.com/photos/69459ca0dea04ab5c8909b4c/1:1/w_300,h_300,c_limit/vf1225-monsters-hamnet.jpg
Best Adapted Screenplay,One Battle After Another (Paul Thomas Anderson),One Battle After Another,63%,,https://media.vanityfair.com/photos/6900e3eac5e7673f1832c621/1:1/w_300,h_300,c_limit/vf1025-one-battle-after-another-gothams.jpg
Best Adapted Screenplay,Train Dreams (Clint Bentley & Greg Kwedar),Train Dreams,3%,,https://media.vanityfair.com/photos/695c14784d16d8b8bf106334/1:1/w_300,h_300,c_limit/Joel-Edgerton-train-dreams-02.jpg
Best International Feature,The Secret Agent,Brazil,27%,,https://media.vanityfair.com/photos/682107888fbed777b44552af/1:1/w_300,h_300,c_limit/Secret-Agent-Exclusive.jpg
Best International Feature,It Was Just an Accident,France,8%,Yes,https://media.vanityfair.com/photos/6984b89f90beed24b7dab9f9/1:1/w_300,h_300,c_limit/it-was-just-an-accident-film-still-01.jpg
Best International Feature,Sentimental Value,Norway,59%,,https://media.vanityfair.com/photos/696535c143c6f08d6191ecc9/1:1/w_300,h_300,c_limit/MCDSEVA_EC019.png
Best International Feature,Sirāt,Spain,2%,,https://media.vanityfair.com/photos/69838281df7da595ee1975c3/1:1/w_300,h_300,c_limit/sirat-film-still-2025.jpg
Best International Feature,The Voice of Hind Rajab,Tunisia,4%,,https://media.vanityfair.com/photos/698383378d2faca3ac9c2c8e/1:1/w_300,h_300,c_limit/the-voice-of-hind-rajab-film-still-2025.jpg
Best Animated Feature,Arco,Arco,3%,,https://media.vanityfair.com/photos/6984cc7c530004d8e8c621b8/1:1/w_300,h_300,c_limit/arco-film-still-2025.jpg
Best Animated Feature,Elio,Elio,3%,,https://media.vanityfair.com/photos/6984cc7c90beed24b7dabbed/1:1/w_300,h_300,c_limit/elio-film-still-2025.jpg
Best Animated Feature,KPop Demon Hunters,KPop Demon Hunters,76%,Yes,https://media.vanityfair.com/photos/68d3f4dd47f4cdba33dfbccf/1:1/w_300,h_300,c_limit/vf915-kpop-demon-hunters.png
Best Animated Feature,Little Amélie or the Character of Rain,Little Amélie,4%,,https://media.vanityfair.com/photos/6984cc7c90beed24b7dabbef/1:1/w_300,h_300,c_limit/little-amelie-or-the-character-of-rain-film-still-2025.jpg
Best Animated Feature,Zootopia 2,Zootopia 2,14%,,https://media.vanityfair.com/photos/6984cc7b15cc91fd00a7226d/1:1/w_300,h_300,c_limit/zootopia-2-film-still.jpg
Best Documentary Feature,The Alabama Solution,The Alabama Solution,14%,,https://media.vanityfair.com/photos/6984cc7f530004d8e8c621cc/1:1/w_300,h_300,c_limit/the-alabama-solution-film-still-2025.jpg
Best Documentary Feature,Come See Me in the Good Light,Come See Me in the Good Light,10%,Yes,https://media.vanityfair.com/photos/6984cc7e282cb3b32361892c/1:1/w_300,h_300,c_limit/Come-See-Me-in-the-Good-Light-film-still-2025.jpg
Best Documentary Feature,Cutting Through Rocks,Cutting Through Rocks,4%,,https://media.vanityfair.com/photos/6984cc7e8ef616bb843a8247/1:1/w_300,h_300,c_limit/cutting-through-rocks-film-still-2025.jpg
Best Documentary Feature,Mr. Nobody Against Putin,Mr. Nobody Against Putin,16%,,https://media.vanityfair.com/photos/6984cc7e90beed24b7dabbfa/1:1/w_300,h_300,c_limit/Mr-Nobody-Against-Putin-still-2025.jpg
Best Documentary Feature,The Perfect Neighbor,The Perfect Neighbor,56%,,https://media.vanityfair.com/photos/6984cc7cfeed93e5e4f1fc8f/1:1/w_300,h_300,c_limit/the-perfect-neighbor-still-2025.jpg
Best Original Score,Bugonia (Jerskin Fendrix),Bugonia,4%,,https://media.vanityfair.com/photos/6980f061c319510dba722562/1:1/w_300,h_300,c_limit/Bugonia.jpg
Best Original Score,Frankenstein (Alexandre Desplat),Frankenstein,4%,,https://media.vanityfair.com/photos/69387838ce999ee86a184d3d/1:1/w_300,h_300,c_limit/Jacob-Elordi-LGM-Embed.jpg
Best Original Score,Hamnet (Max Richter),Hamnet,5%,Yes,https://media.vanityfair.com/photos/69459ca0dea04ab5c8909b4c/1:1/w_300,h_300,c_limit/vf1225-monsters-hamnet.jpg
Best Original Score,One Battle After Another (Jonny Greenwood),One Battle After Another,9%,,https://media.vanityfair.com/photos/6900e3eac5e7673f1832c621/1:1/w_300,h_300,c_limit/vf1025-one-battle-after-another-gothams.jpg
Best Original Score,Sinners (Ludwig Göransson),Sinners,79%,,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300,h_300,c_limit/vf2025-most-anticipated-movies-sinners.jpg
Best Original Song,Dear Me,Diane Warren: Relentless,1%,Yes,https://media.vanityfair.com/photos/6984cc7b282cb3b32361891f/1:1/w_300,h_300,c_limit/diane-warren-relentless-film-still-2025.jpg
Best Original Song,Golden,KPop Demon Hunters,62%,,https://media.vanityfair.com/photos/68d3f4dd47f4cdba33dfbccf/1:1/w_300,h_300,c_limit/vf915-kpop-demon-hunters.png
Best Original Song,I Lied to You,Sinners,32%,,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300,h_300,c_limit/vf2025-most-anticipated-movies-sinners.jpg
Best Original Song,Sweet Dreams of Joy,Viva Verdi!,1%,,https://media.vanityfair.com/photos/6984cc7ef77199faa75cefa2/1:1/w_300,h_300,c_limit/viva-verdi-film-still-2024-2025.jpg
Best Original Song,Train Dreams,Train Dreams,4%,,https://media.vanityfair.com/photos/695c14784d16d8b8bf106334/1:1/w_300,h_300,c_limit/Joel-Edgerton-train-dreams-02.jpg
Best Cinematography,Dan Laustsen,Frankenstein,9%,,https://media.vanityfair.com/photos/69387838ce999ee86a184d3d/1:1/w_300,h_300,c_limit/Jacob-Elordi-LGM-Embed.jpg
Best Cinematography,Darius Khondji,Marty Supreme,4%,,https://media.vanityfair.com/photos/6924c994ed07f0d4cdeccc85/1:1/w_300,h_300,c_limit/Marty-Supreme.jpg
Best Cinematography,Michael Bauman,One Battle After Another,26%,Yes,https://media.vanityfair.com/photos/6900e3eac5e7673f1832c621/1:1/w_300,h_300,c_limit/vf1025-one-battle-after-another-gothams.jpg
Best Cinematography,Autumn Durald Arkapaw,Sinners,45%,,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300,h_300,c_limit/vf2025-most-anticipated-movies-sinners.jpg
Best Cinematography,Adolpho Veloso,Train Dreams,17%,,https://media.vanityfair.com/photos/695c14784d16d8b8bf106334/1:1/w_300,h_300,c_limit/Joel-Edgerton-train-dreams-02.jpg
Best Costume Design,Deborah L. Scott,Avatar: Fire and Ash,8%,,https://media.vanityfair.com/photos/6984cc7e530004d8e8c621c0/1:1/w_300,h_300,c_limit/avatar-fire-and-ash-film-still-2025.jpg
Best Costume Design,Kate Hawley,Frankenstein,65%,Yes,https://media.vanityfair.com/photos/69387838ce999ee86a184d3d/1:1/w_300,h_300,c_limit/Jacob-Elordi-LGM-Embed.jpg
Best Costume Design,Malgosia Turzanska,Hamnet,6%,,https://media.vanityfair.com/photos/69459ca0dea04ab5c8909b4c/1:1/w_300,h_300,c_limit/vf1225-monsters-hamnet.jpg
Best Costume Design,Miyako Bellizzi,Marty Supreme,4%,,https://media.vanityfair.com/photos/6924c994ed07f0d4cdeccc85/1:1/w_300,h_300,c_limit/Marty-Supreme.jpg
Best Costume Design,Ruth E. Carter,Sinners,17%,,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300,h_300,c_limit/vf2025-most-anticipated-movies-sinners.jpg
Best Film Editing,Stephen Mirrione,F1,15%,,https://media.vanityfair.com/photos/6980f109656834c976707272/1:1/w_300,h_300,c_limit/F1.jpg
Best Film Editing,Ronald Bronstein & Josh Safdie,Marty Supreme,10%,Yes,https://media.vanityfair.com/photos/6924c994ed07f0d4cdeccc85/1:1/w_300,h_300,c_limit/Marty-Supreme.jpg
Best Film Editing,Andy Jurgensen,One Battle After Another,48%,,https://media.vanityfair.com/photos/6900e3eac5e7673f1832c621/1:1/w_300,h_300,c_limit/vf1025-one-battle-after-another-gothams.jpg
Best Film Editing,Olivier Bugge Coutté,Sentimental Value,2%,,https://media.vanityfair.com/photos/696535c143c6f08d6191ecc9/1:1/w_300,h_300,c_limit/MCDSEVA_EC019.png
Best Film Editing,Michael P. Shawver,Sinners,25%,,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300,h_300,c_limit/vf2025-most-anticipated-movies-sinners.jpg
Best Casting,Jennifer Venditti,Marty Supreme,12%,,https://media.vanityfair.com/photos/6924c994ed07f0d4cdeccc85/1:1/w_300,h_300,c_limit/Marty-Supreme.jpg
Best Casting,Cassandra Kulukundis,One Battle After Another,14%,,https://media.vanityfair.com/photos/6900e3eac5e7673f1832c621/1:1/w_300,h_300,c_limit/vf1025-one-battle-after-another-gothams.jpg
Best Casting,Gabriel Domingues,The Secret Agent,4%,,https://media.vanityfair.com/photos/682107888fbed777b44552af/1:1/w_300,h_300,c_limit/Secret-Agent-Exclusive.jpg
Best Casting,Francine Maisler,Sinners,65%,,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300,h_300,c_limit/vf2025-most-anticipated-movies-sinners.jpg
Best Casting,Nina Gold,Hamnet,5%,Yes,https://media.vanityfair.com/photos/69459ca0dea04ab5c8909b4c/1:1/w_300,h_300,c_limit/vf1225-monsters-hamnet.jpg
Best Makeup and Hairstyling,Mike Hill et al.,Frankenstein,81%,Yes,https://media.vanityfair.com/photos/69387838ce999ee86a184d3d/1:1/w_300,h_300,c_limit/Jacob-Elordi-LGM-Embed.jpg
Best Makeup and Hairstyling,Kyoko Toyokawa et al.,Kokuho,3%,,https://media.vanityfair.com/photos/6984cc7df77199faa75cef9b/1:1/w_300,h_300,c_limit/kokuho-film-still-2025.jpg
Best Makeup and Hairstyling,Ken Diaz et al.,Sinners,10%,,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300,h_300,c_limit/vf2025-most-anticipated-movies-sinners.jpg
Best Makeup and Hairstyling,Kazu Hiro et al.,The Smashing Machine,2%,,https://media.vanityfair.com/photos/6984d0e48ef616bb843a826e/1:1/w_300,h_300,c_limit/the-smashing-machine-film-still-2025.jpg
Best Makeup and Hairstyling,Thomas Foldberg & Anne Cathrine Sauerberg,The Ugly Stepsister,5%,,https://media.vanityfair.com/photos/6984d16105a9a1ff7ceb66db/1:1/w_300,h_300,c_limit/the-ugly-stepsister-film-still-2025.jpg
Best Production Design,Tamara Deverell / Shane Vieau,Frankenstein,53%,,https://media.vanityfair.com/photos/69387838ce999ee86a184d3d/1:1/w_300,h_300,c_limit/Jacob-Elordi-LGM-Embed.jpg
Best Production Design,Fiona Crombie / Alice Felton,Hamnet,8%,,https://media.vanityfair.com/photos/69459ca0dea04ab5c8909b4c/1:1/w_300,h_300,c_limit/vf1225-monsters-hamnet.jpg
Best Production Design,Jack Fisk / Adam Willis,Marty Supreme,8%,Yes,https://media.vanityfair.com/photos/6924c994ed07f0d4cdeccc85/1:1/w_300,h_300,c_limit/Marty-Supreme.jpg
Best Production Design,Florencia Martin / Anthony Carlino,One Battle After Another,4%,,https://media.vanityfair.com/photos/6900e3eac5e7673f1832c621/1:1/w_300,h_300,c_limit/vf1025-one-battle-after-another-gothams.jpg
Best Production Design,Hannah Beachler / Monique Champagne,Sinners,27%,,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300,h_300,c_limit/vf2025-most-anticipated-movies-sinners.jpg
Best Sound,Gareth John et al.,F1,54%,Yes,https://media.vanityfair.com/photos/6980f109656834c976707272/1:1/w_300,h_300,c_limit/F1.jpg
Best Sound,Greg Chapman et al.,Frankenstein,2%,,https://media.vanityfair.com/photos/69387838ce999ee86a184d3d/1:1/w_300,h_300,c_limit/Jacob-Elordi-LGM-Embed.jpg
Best Sound,José Antonio García et al.,One Battle After Another,7%,,https://media.vanityfair.com/photos/6900e3eac5e7673f1832c621/1:1/w_300,h_300,c_limit/vf1025-one-battle-after-another-gothams.jpg
Best Sound,Chris Welcker et al.,Sinners,32%,,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300,h_300,c_limit/vf2025-most-anticipated-movies-sinners.jpg
Best Sound,Amanda Villavieja et al.,Sirāt,5%,,https://media.vanityfair.com/photos/69838281df7da595ee1975c3/1:1/w_300,h_300,c_limit/sirat-film-still-2025.jpg
